id,name,full_name,legal_person,manager
002434.OF,中银宏利混合A,中银宏利灵活配置混合型证券投资基金,中银基金,宋殿宇
002435.OF,中银宏利混合C,中银宏利灵活配置混合型证券投资基金,中银基金,宋殿宇
002438.OF,创金合信尊盛纯债,创金合信尊盛纯债债券型证券投资基金,创金合信基金,郑振源
002441.OF,德邦新添利债券C,德邦新添利债券型证券投资基金,德邦基金,丁孙楠、黎莹
002442.OF,鑫元汇利债券,鑫元汇利债券型证券投资基金,鑫元基金,赵慧
002443.OF,前海开源沪港深龙头精选混合,前海开源沪港深龙头精选灵活配置混合型证券投资基金,前海开源基金,刘小明
002445.OF,兴业丰泰债券,兴业丰泰债券型证券投资基金,兴业基金,王卓然
002446.OF,广发利鑫灵活配置混合A,广发利鑫灵活配置混合型证券投资基金,广发基金,段涛
002447.OF,博时裕安纯债一年定开债发起式,博时裕安纯债一年定期开放债券型发起式证券投资基金,博时基金,魏桢
002448.OF,江信汇福,江信汇福定期开放债券型证券投资基金,江信基金,杨鹏飞
002449.OF,民生加银量化中国混合,民生加银量化中国灵活配置混合型证券投资基金,民生加银基金,蔡晓、刘昊
002450.OF,平安睿享文娱混合A,平安睿享文娱灵活配置混合型证券投资基金,平安基金,黄维
002451.OF,平安睿享文娱混合C,平安睿享文娱灵活配置混合型证券投资基金,平安基金,黄维
002452.OF,民生加银和鑫定开债,民生加银和鑫定期开放债券型发起式证券投资基金,民生加银基金,姚航
002453.OF,九泰久稳灵活配置混合A,九泰久稳灵活配置混合型证券投资基金,九泰基金,刘源
002454.OF,九泰久稳灵活配置混合C,九泰久稳灵活配置混合型证券投资基金,九泰基金,刘源
002455.OF,民生加银鑫喜混合,民生加银鑫喜灵活配置混合型证券投资基金,民生加银基金,关键
002456.OF,招商安元灵活配置混合A,招商安元灵活配置混合型证券投资基金,招商基金,张韵
002457.OF,招商安元灵活配置混合C,招商安元灵活配置混合型证券投资基金,招商基金,张韵
002458.OF,国泰民利策略收益灵活配置混合,国泰民利策略收益灵活配置混合型证券投资基金,国泰基金,戴计辉
002459.OF,华夏鼎利债券A,华夏鼎利债券型发起式证券投资基金,华夏基金,何家琪、董阳阳
002460.OF,华夏鼎利债券C,华夏鼎利债券型发起式证券投资基金,华夏基金,何家琪、董阳阳
